lf,janela,grupo,arquivo,gasto,leads,conv,receita,roas
LF56,semana,Champion,LF56 - 08:06 a 14:06.xlsx,20169.34,2051.0,31.0,35595.185157,1.764816556069757
LF56,semana,Challenger,LF56 - 08:06 a 14:06.xlsx,2739.23,296.0,6.0,7525.0624,2.747145146628797
LF56,semana,Controle,LF56 - 08:06 a 14:06.xlsx,18921.83,4490.0,15.0,13963.030408,0.737932346289973
LF56,60d,Champion,LF56 - 08:06 a 07:08.xlsx,20169.34,2051.0,43.0,55120.446756,2.732883017292584
LF56,60d,Challenger,LF56 - 08:06 a 07:08.xlsx,2739.23,296.0,15.0,25376.112232,9.26395820431289
LF56,60d,Controle,LF56 - 08:06 a 07:08.xlsx,18921.83,4490.0,20.0,23345.085624,1.233764684705443
DEV19,semana,Champion,DEV19 - 19:01 a 25:01.xlsx,86358.37,27774.0,126.0,115939.791934,1.342542615544967
DEV19,semana,Controle,DEV19 - 19:01 a 25:01.xlsx,112472.17,32356.0,94.0,73747.3496,0.6556942006186952
DEV19,60d,Champion,DEV19 - 19:01 a 20:03.xlsx,86358.37,27774.0,178.0,149973.843646,1.736645141009493
DEV19,60d,Controle,DEV19 - 19:01 a 20:03.xlsx,112472.17,32356.0,143.0,107999.5345416667,0.9602334029979741
